date	gold	platinum	palladium	silver50
20131005	1358.18	1419.07	725.53	1113.00
20131008	1361.14	1437.97	723.66	1124.00
20131009	1371.75	1461.05	736.24	1130.50
20131010	1362.48	1455.60	738.73	1160.00
20131011	1350.29	1438.71	730.28	1149.50
20131012	1331.63	1432.35	733.26	1135.50
20131015	1323.70	1426.40	741.73	1116.00
20131016	1302.49	1419.20	733.46	1116.50
20131017	1325.62	1435.29	731.13	1062.50
20131018	1349.65	1456.40	738.52	1099.50
20131019	1348.44	1466.18	755.62	1112.00
20131022	1349.76	1475.91	764.11	1121.50
20131023	1346.80	1463.08	764.91	1134.00
20131024	1360.48	1465.61	759.34	1125.50
20131025	1360.24	1466.87	760.41	1146.50
20131026	1366.51	1469.63	754.67	1154.50
20131029	1381.77	1492.23	758.90	1143.00
20131030	1383.16	1501.53	763.09	1157.50
20131031	1391.06	1512.17	768.97	1150.00
20131101	1375.44	1507.70	765.20	1172.50
20131102	1360.29	1506.43	763.56	1148.50
20131106	1363.84	1508.15	772.80	1136.50
20131107	1374.06	1523.26	789.80	1127.00
20131108	1370.02	1526.18	790.16	1142.00
20131109	1369.79	1525.71	795.29	1138.00
20131112	1348.08	1505.86	791.79	1139.50
20131113	1351.18	1510.46	790.04	1128.50
20131114	1346.35	1515.17	781.86	1113.00
20131115	1348.60	1523.84	775.58	1087.50
20131116	1346.75	1516.17	772.27	1091.50
20131119	1343.84	1502.47	760.13	1080.50
20131120	1333.86	1484.57	751.72	1082.00
20131121	1338.47	1484.26	755.82	1076.00
20131122	1325.35	1486.17	762.19	1074.50
20131123	1313.69	1476.88	760.66	1056.50
20131126	1297.88	1455.14	751.28	1050.00
20131127	1326.53	1469.97	765.74	1045.00
20131128	1327.18	1468.57	768.24	1067.00
20131129	1322.78	1449.81	764.85	1064.00
20131130	1328.85	1458.77	770.47	1054.50
20131203	1318.85	1453.67	764.13	1062.00
20131204	1302.97	1437.65	761.04	1055.50
20131205	1297.23	1446.95	763.58	1025.00
20131206	1313.76	1457.49	772.93	1014.00
20131207	1303.87	1443.98	778.67	1031.00
20131210	1294.65	1434.28	772.47	1027.00
20131211	1313.09	1455.65	777.89	1027.50
20131212	1320.95	1458.55	774.52	1055.00
20131213	1309.40	1453.13	772.90	1073.50
20131214	1292.05	1443.42	765.03	1046.00
20131217	1299.16	1433.89	756.57	1033.00
20131218	1307.30	1438.06	758.65	1030.00
20131219	1306.08	1435.02	750.87	1060.00
20131220	1276.91	1406.95	737.38	1056.50
20131221	1267.09	1404.93	740.11	1025.50
20131224	1263.58	1416.40	742.63	1024.00
20131225	1255.16	1392.06	730.12	1016.00
20131226	1255.94	1392.92	730.58	1018.00
20131227	1256.80	1393.88	731.08	1019.00
20131228	1268.53	1434.01	740.61	1017.50
20131231	1264.30	1434.24	745.01	1048.00
20140101	1261.58	1425.90	746.55	1031.50
20140110	1306.85	1507.25	785.60	1040.50
20140111	1315.55	1517.06	785.76	1043.00
20140114	1326.80	1526.99	787.99	1054.00
20140115	1334.47	1527.09	786.52	1073.50
20140116	1327.66	1517.48	786.62	1087.00
20140117	1328.65	1522.76	792.52	1078.50
20140118	1334.00	1542.53	798.68	1075.00
20140121	1357.19	1585.69	809.07	1082.00
20140122	1356.57	1582.98	811.06	1103.00
20140123	1349.70	1577.83	810.15	1090.50
20140124	1361.46	1588.78	817.37	1087.00
20140125	1387.04	1597.15	818.40	1107.50
20140128	1417.23	1594.66	816.86	1126.50
20140129	1395.42	1580.77	804.86	1104.00
20140130	1394.32	1561.29	796.76	1095.50
20140131	1420.96	1583.00	810.77	1115.00
20140201	1409.87	1564.26	798.53	1097.50
20140204	1412.06	1570.09	802.04	1093.50
20140205	1428.11	1573.99	801.24	1098.00
20140206	1412.82	1553.32	799.14	1087.00
20140207	1405.18	1539.73	793.87	1096.00
20140208	1401.82	1540.89	794.37	1120.50
20140211	1423.36	1552.45	800.26	1110.50
20140212	1435.05	1556.15	806.60	1130.00
20140213	1437.72	1555.62	806.87	1127.00
20140214	1446.12	1563.53	813.71	1132.00
20140215	1483.19	1611.84	831.99	1149.00
20140218	1496.28	1607.99	831.64	1190.00
20140219	1488.69	1611.05	830.45	1226.50
20140220	1508.79	1622.34	844.35	1222.50
20140221	1510.73	1624.86	842.90	1250.50
20140222	1515.20	1627.92	845.51	1238.50
20140225	1521.90	1631.50	843.72	1241.00
20140226	1524.00	1638.64	843.90	1260.50
20140227	1541.78	1655.69	846.83	1250.00
20140228	1542.68	1653.95	849.57	1266.00
20140301	1544.66	1679.90	862.05	1243.50
20140304	1572.22	1698.25	874.85	1244.00
20140305	1564.19	1693.22	872.30	1253.00
20140306	1547.07	1698.47	891.00	1227.00
20140307	1549.66	1713.14	898.96	1238.00
20140308	1571.85	1726.61	904.69	1230.50
20140312	1577.61	1733.27	909.94	1228.50
20140313	1590.39	1710.92	896.22	1246.50
20140314	1606.96	1728.86	908.38	1229.00
20140315	1613.82	1736.33	914.11	1251.00
20140318	1624.93	1738.05	913.21	1258.50
20140319	1596.65	1707.39	899.98	1243.50
20140320	1566.85	1697.23	894.01	1219.00
20140321	1540.52	1669.38	878.22	1204.50
20140322	1566.52	1681.80	908.20	1180.50
20140325	1537.19	1666.25	925.57	1194.50
20140326	1518.83	1655.44	909.74	1167.00
20140327	1498.17	1620.12	893.54	1139.50
20140328	1481.42	1608.40	873.98	1145.50
20140329	1486.70	1610.90	877.74	1129.00
20140401	1481.29	1627.81	889.46	1128.00
20140402	1448.66	1603.49	868.18	1124.50
20140403	1455.24	1619.58	882.89	1122.00
20140404	1469.84	1643.12	894.07	1131.50
20140405	1476.38	1643.59	899.41	1131.50
20140408	1481.27	1635.22	892.87	1136.50
20140409	1502.60	1642.32	885.73	1132.00
20140410	1505.38	1653.94	891.91	1158.00
20140411	1510.76	1656.52	896.28	1137.00
20140412	1508.69	1667.61	902.52	1159.00
20140415	1532.54	1693.95	937.23	1162.50
20140416	1516.43	1675.41	920.38	1141.00
20140417	1506.89	1669.30	925.71	1146.50
20140418	1500.81	1657.62	920.64	1132.00
20140419	1484.24	1641.92	915.22	1121.00
20140422	1489.66	1647.92	918.57	1125.00
20140423	1480.61	1617.40	899.32	1125.50
20140424	1471.63	1609.79	898.91	1118.50
20140425	1472.48	1606.13	900.58	1116.50
20140426	1495.04	1631.06	928.73	1101.00
20140429	1507.99	1653.93	938.15	1138.50
20140430	1480.28	1622.88	914.74	1125.00
20140501	1483.88	1632.03	922.25	1110.00
20140506	1476.28	1641.91	940.21	1104.50
20140507	1499.98	1659.89	933.12	1099.00
20140508	1496.19	1657.11	931.27	1120.50
20140509	1454.44	1618.61	904.48	1106.00
20140513	1463.39	1619.89	908.99	1089.50
20140514	1449.67	1618.15	904.96	1091.00
20140515	1450.97	1635.94	917.29	1084.50
20140516	1454.52	1643.90	919.29	1108.50
20140517	1446.65	1633.67	903.49	1099.00
20140520	1453.08	1651.89	914.74	1079.50
20140521	1436.71	1634.17	908.86	1087.50
20140522	1433.41	1640.88	918.63	1074.50
20140523	1426.71	1627.85	913.67	1064.00
20140524	1425.36	1637.17	921.19	1079.00
20140527	1414.97	1624.78	907.16	1064.00
20140528	1413.08	1622.35	915.26	1069.50
20140529	1402.99	1621.16	932.55	1067.50
20140530	1396.91	1617.47	931.27	1065.00
20140531	1400.42	1627.12	928.03	1052.50
20140603	1396.23	1615.24	935.50	1065.50
20140604	1400.58	1616.43	938.79	1058.50
20140605	1407.69	1605.40	941.10	1066.00
20140606	1396.86	1603.62	935.91	1052.50
20140607	1397.28	1619.02	937.09	1048.00
20140610	1385.20	1602.64	931.56	1050.00
20140611	1385.07	1615.45	932.59	1056.00
20140612	1393.17	1628.77	941.29	1048.50
20140617	1424.41	1595.83	902.38	1088.00
20140618	1415.17	1601.50	907.63	1100.50
